algo,saida,taxa_pct,tempo_s,mem_pico_B
komm-lz77-w8192-l264,51195,26.03144417438703,33.74320947200067,9031568
komm-lz77-w100-l15,76798,39.0499628812301,1.3825723090012616,12128035
komm-lz77-w400-l15,80774,41.07166464971068,1.416609931999119,13330163
komm-lz77-w4096-l8,96368,49.00084407065787,0.916119276000245,16179431
komm-lz77-w16384-l8,100404,51.053054417133616,1.220126636999339,16690887
komm-lz77-w4096-l16,70887,36.04435947240499,1.321986557000855,11468935
komm-lz77-w8192-l16,71375,36.29249590676579,1.5036781550006708,11912199
komm-lz77-w32768-l16,73721,37.485381306377306,3.026997594999557,12034947
fastlz_l1,38060,19.352607974942288,0.002054208998742979,1310720
lz77repo_w100,65693,33.40333357062227,12.08052280999982,12853248
lz77repo_w150,65504,33.307231549937455,17.181110830999387,12857344
lz77repo_w200,65387,33.24773982284685,24.34575076799956,12853248
lz77repo_w250,65324,33.21570581595192,27.65393597700131,12857344
lz77repo_w300,65258,33.18214638015722,33.465733781999006,12853248
lz77repo_w350,65186,33.145536086563006,40.237007432999235,12853248
lz77repo_w400,65160,33.13231570276509,45.37400211500062,12853248
