tipo_de_compressao,saida,taxa_pct,tempo_s,mem_pico_B
komm-lz77-w8192-l264,95798,61.975894884617624,32.22502538900153,15955487
komm-lz77-w100-l15,144104,93.22714833767863,3.1557369919992198,23602363
komm-lz77-w400-l15,112235,72.60970544661745,2.1641505349998624,18396655
komm-lz77-w4096-l8,87625,56.688425533566665,0.9989610419997916,14553719
komm-lz77-w16384-l8,81938,53.00925776170483,1.1584007170004043,13431983
komm-lz77-w4096-l16,85296,55.181694086289326,2.0412933109982987,14121859
komm-lz77-w8192-l16,80694,52.2044600285949,2.34998572800032,13445423
komm-lz77-w32768-l16,73569,47.594987481642974,4.126860243999545,12031775
fastlz_l1,85727,55.46052674141021,0.0019947799992223736,1179648
lz77repo_w100,143873,93.07770438563008,23.76488258900099,13107200
lz77repo_w150,135184,87.4564121806525,34.43739154599825,13107200
lz77repo_w200,129074,83.50358730179268,43.36016116999963,12976128
lz77repo_w250,124022,80.2352286621855,50.306062662999466,12976128
lz77repo_w300,120210,77.76907998162682,55.20857678900029,12976128
lz77repo_w350,116909,75.63351943741792,64.21657396000046,12976128
lz77repo_w400,114069,73.79619985379077,68.6969253369989,12976128
