tipo_de_compressao,saida,taxa_pct,tempo_s,mem_pico_B
komm-lz77-100,76,30.89430894308943,0.001062791001459118,16403
komm-lz77-400,84,34.146341463414636,0.0015015610006230418,20551
komm-lz77-4k,93,37.80487804878049,0.009644543999911548,367894
komm-lz77-8k,97,39.43089430894309,0.003906674999598181,148218
komm-lz77-16k,101,41.05691056910569,0.006292554000083328,287370
komm-lz77-32k,105,42.68292682926829,0.011570544999813137,566106
komm-lz77-64k,109,44.3089430894309,0.02282064500013803,1122954
komm-huff,50,20.32520325203252,0.009208751999722153,140961
komm-fano,50,20.32520325203252,0.03132563300005131,314210
komm-shannon,54,21.951219512195124,0.0026610619997882168,38195
komm-lz78,95,38.61788617886179,0.0011398750002626912,19928
komm-lzw,81,32.926829268292686,0.001165292999758094,43084
